# index, _pos
577,"array([1.92914171, 3.10066116])"
578,"array([1.55609792, 2.92258162])"
579,"array([1.70603629, 3.10215333])"
580,"array([1.42310607, 2.99010224])"
581,"array([1.91256627, 3.08606781])"
582,"array([1.34346129, 2.44490324])"
583,"array([1.30689092, 2.79105668])"
584,"array([-1.5041565 , -1.23145763])"
585,"array([-1.48102444, -1.24731358])"
586,"array([1.70892907, 3.03800824])"
587,"array([1.54826891, 3.01836995])"
588,"array([1.71551357, 2.90852009])"
589,"array([1.78506551, 2.80614767])"
590,"array([1.40273621, 3.00969189])"
591,"array([1.64399215, 3.068103  ])"
592,"array([1.77432611, 3.13238999])"
593,"array([1.78058522, 3.12491996])"
594,"array([1.25206359, 2.96960189])"
595,"array([1.57682038, 3.01404487])"
596,"array([1.53005138, 3.04128484])"
597,"array([1.62338853, 2.96981769])"
598,"array([1.47708731, 3.0199954 ])"
599,"array([1.79320191, 2.94030659])"
600,"array([1.60648114, 2.96829142])"
601,"array([1.69441839, 3.00176986])"
602,"array([1.60890717, 2.97433921])"
603,"array([1.70631024, 2.94355218])"
604,"array([1.59590676, 2.9909991 ])"
605,"array([1.43758831, 3.05687569])"
606,"array([1.59275086, 2.98711698])"
607,"array([1.24879864, 2.57378121])"
608,"array([1.26130124, 2.80791102])"
609,"array([1.3872177 , 2.62403213])"
610,"array([1.24742642, 2.66768662])"
611,"array([1.58629655, 2.93941224])"
612,"array([1.56113032, 2.94412508])"
613,"array([1.3456404 , 2.95727803])"
614,"array([1.57528462, 2.95436294])"
615,"array([1.45057764, 3.07510349])"
616,"array([1.63613843, 3.00909395])"
617,"array([1.14744447, 2.85055239])"
618,"array([1.3020261 , 2.94090907])"
619,"array([1.26759383, 2.88322436])"
620,"array([1.11201577, 2.81598118])"
621,"array([1.03378277, 2.73544422])"
622,"array([1.08884559, 2.82734642])"
623,"array([1.12678557, 2.8639506 ])"
624,"array([1.13789279, 2.85178757])"
625,"array([0.99391027, 2.77392541])"
626,"array([1.07396957, 2.8256377 ])"
627,"array([1.09474866, 2.87694413])"
628,"array([1.07082274, 2.77566607])"
629,"array([1.66999503, 2.99265595])"
630,"array([1.13623018, 2.98404794])"
631,"array([1.26453789, 2.88070272])"
632,"array([1.28782285, 3.03834384])"
633,"array([1.13920057, 2.99337313])"
634,"array([1.68327182, 2.93359045])"
635,"array([1.59559658, 2.93393082])"
636,"array([1.54440732, 2.99466352])"
637,"array([1.30434129, 3.0859743 ])"
638,"array([1.62073999, 2.9970819 ])"
639,"array([1.5771224 , 3.03438588])"
640,"array([1.51325664, 3.01317191])"
641,"array([1.2259159 , 2.99290618])"
642,"array([1.48418403, 3.02630825])"
643,"array([1.33610248, 3.11458938])"
644,"array([1.62395836, 2.93707026])"
645,"array([1.30075599, 2.89770699])"
646,"array([1.58502104, 2.89451502])"
647,"array([1.61520975, 2.9715712 ])"
648,"array([1.7127637 , 2.92005478])"
649,"array([1.63229288, 2.98303429])"
650,"array([1.53252248, 2.91285917])"
651,"array([1.60753751, 2.97874683])"
652,"array([1.55874044, 2.97873529])"
653,"array([1.5332732 , 3.00549794])"
654,"array([1.60212967, 2.94466125])"
655,"array([1.68075844, 2.89820934])"
656,"array([1.65134936, 2.75205989])"
657,"array([1.80614147, 3.08921528])"
658,"array([1.55689931, 2.89222556])"
659,"array([1.37661306, 2.74579984])"
660,"array([1.46593734, 2.75201129])"
661,"array([1.65747124, 3.00007439])"
662,"array([1.81465579, 2.86158597])"
663,"array([1.68445821, 2.91576672])"
664,"array([1.80430806, 3.039502  ])"
665,"array([1.71847683, 3.01965701])"
666,"array([1.56981688, 2.9099309 ])"
667,"array([1.31606233, 2.80854039])"
668,"array([1.60685357, 2.99207854])"
669,"array([1.49036532, 2.98540755])"
670,"array([1.22978989, 2.99266283])"
671,"array([1.23162994, 2.86439627])"
672,"array([1.26265361, 3.01568741])"
673,"array([1.29733314, 2.886217  ])"
674,"array([1.50586333, 2.9941396 ])"
675,"array([1.26589131, 3.02664196])"
676,"array([2.02817462, 2.95000915])"
677,"array([2.02758456, 2.88531505])"
678,"array([1.80107237, 2.93421323])"
679,"array([1.35421629, 3.11784964])"
680,"array([1.07307984, 2.65284996])"
681,"array([1.26233042, 2.72830097])"
682,"array([1.47537725, 2.6920654 ])"
683,"array([1.50355861, 2.70798036])"
684,"array([1.38798376, 2.76413663])"
685,"array([1.42546726, 2.96288501])"
686,"array([1.5553598 , 3.07339188])"
687,"array([1.38056088, 2.84584612])"
